Time,Room Temperature,Forced Fanned,Natural Insulated,Natural Uninsulated,P 5,P 6,P 7,P 8,P 9,P 10
0,22.855776,34.851021,35.440853,36.337017,,,,,,
0.36,22.853527,34.838444,35.447544,36.340141,,,,,,
0.723,22.853001,34.819721,35.446312,36.3414,,,,,,
1.069,22.850986,34.799168,35.434689,36.336914,,,,,,
1.426,22.848072,34.775578,35.440006,36.337776,,,,,,
1.788,22.833929,34.753906,35.434933,36.335915,,,,,,
2.152,22.818834,34.745567,35.438728,36.333469,,,,,,
2.515,22.806986,34.715096,35.439137,36.328526,,,,,,
2.878,22.795795,34.705624,35.438408,36.317284,,,,,,
3.24,22.803001,34.688663,35.444824,36.325836,,,,,,
3.587,22.795286,34.677994,35.443615,36.323021,,,,,,
3.944,22.76981,34.634029,35.44017,36.313698,,,,,,
4.32,22.771164,34.634659,35.453461,36.313435,,,,,,
4.681,22.776779,34.620224,35.454914,36.312744,,,,,,
5.043,22.77854,34.605011,35.46468,36.304859,,,,,,
5.403,22.795692,34.603607,35.470413,36.304173,,,,,,
5.763,22.793192,34.582214,35.458664,36.299919,,,,,,
6.111,22.802202,34.557041,35.452061,36.293316,,,,,,
6.469,22.80592,34.551796,35.452705,36.287724,,,,,,
6.832,22.812628,34.534698,35.462555,36.29311,,,,,,
7.195,22.801445,34.510239,35.446674,36.285797,,,,,,
7.558,22.811117,34.499821,35.44804,36.288765,,,,,,
7.93,22.805784,34.490078,35.444012,36.290085,,,,,,
8.291,22.799847,34.477776,35.433857,36.27887,,,,,,
8.644,22.807171,34.452358,35.44342,36.284504,,,,,,
9.001,22.803011,34.44556,35.432529,36.293404,,,,,,
9.363,22.816614,34.428505,35.433857,36.284214,,,,,,
9.712,22.831032,34.419575,35.419403,36.282963,,,,,,
10.069,22.849619,34.403347,35.42049,36.278881,,,,,,
10.431,22.873753,34.392075,35.415474,36.281532,,,,,,
10.795,22.875492,34.375767,35.409882,36.277012,,,,,,
11.153,22.88061,34.365124,35.39782,36.272804,,,,,,
