Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
256.139,59.374889,59.183521,59.085033,59.052982,,,,,,
256.49,59.367149,59.181332,59.079853,59.042244,,,,,,
256.852,59.367031,59.189972,59.07589,59.058796,,,,,,
257.213,59.370651,59.18697,59.087627,59.047459,,,,,,
257.572,59.362316,59.165386,59.07523,59.042751,,,,,,
257.916,59.37114,59.174,59.077007,59.049442,,,,,,
258.265,59.359241,59.173847,59.080273,59.043949,,,,,,
258.619,59.3689,59.187782,59.0784,59.046562,,,,,,
258.977,59.37075,59.189423,59.084526,59.053116,,,,,,
259.339,59.379002,59.191051,59.081665,59.040428,,,,,,
259.701,59.383297,59.183388,59.087677,59.050285,,,,,,
260.05,59.382275,59.188347,59.086868,59.059303,,,,,,
260.397,59.366062,59.185799,59.073208,59.034534,,,,,,
260.76,59.374477,59.193573,59.069019,59.026714,,,,,,
261.109,59.359596,59.188515,59.030628,58.99366,,,,,,
261.466,59.381145,59.197681,58.999199,58.967785,,,,,,
0,59.377266,59.192089,58.967106,58.936756,,,,,,
0.347,59.372208,59.194721,58.887455,58.87228,,,,,,
0.705,59.373322,59.193703,58.623043,58.633091,,,,,,
1.066,59.40345,59.213589,58.133564,58.204834,,,,,,
1.427,59.407845,59.216911,57.484322,57.622314,,,,,,
1.788,59.39426,59.225754,56.791553,56.987644,,,,,,
2.146,59.422482,59.239674,56.136932,56.365906,,,,,,
2.494,59.417194,59.243996,55.551426,55.775276,,,,,,
2.846,59.427986,59.23877,55.033798,55.246464,,,,,,
3.2,59.439686,59.237446,54.534042,54.743893,,,,,,
3.558,59.441864,59.210148,54.062798,54.263569,,,,,,
3.918,59.451138,59.197212,53.605,53.824715,,,,,,
4.279,59.450047,59.151474,53.148197,53.365944,,,,,,
4.627,59.456909,59.093388,52.69775,52.921955,,,,,,
4.989,59.439774,59.007225,52.222157,52.462791,,,,,,
5.35,59.416111,58.923702,51.767673,52.004189,,,,,,
5.711,59.411915,58.797878,51.320415,51.543045,,,,,,
6.073,59.374668,58.676777,50.891487,51.086102,,,,,,
6.419,59.358715,58.548962,50.489075,50.68927,,,,,,
6.775,59.306911,58.385418,50.083771,50.261089,,,,,,
7.137,59.256073,58.203957,49.706543,49.861595,,,,,,
7.499,59.193375,58.017193,49.34634,49.47887,,,,,,
7.857,59.103531,57.804016,49.014851,49.13549,,,,,,
8.217,59.01693,57.577095,48.677097,48.792591,,,,,,
8.567,58.923161,57.373344,48.360615,48.482281,,,,,,
8.917,58.800747,57.131783,48.022125,48.160454,,,,,,
9.273,58.689125,56.895397,47.663464,47.834633,,,,,,
9.635,58.555225,56.628628,47.314587,47.486961,,,,,,
10.001,58.403549,56.358517,46.97467,47.148033,,,,,,
10.362,58.242481,56.090908,46.654282,46.80632,,,,,,
10.712,58.069576,55.81004,46.339813,46.493259,,,,,,
11.073,57.874958,55.526413,46.006718,46.156319,,,,,,
11.428,57.695454,55.263054,45.695084,45.845219,,,,,,
11.786,57.501606,54.971001,45.366882,45.519962,,,,,,
12.148,57.285049,54.663143,45.02824,45.189102,,,,,,
12.495,57.08551,54.39127,44.727757,44.888271,,,,,,
12.852,56.867134,54.080769,44.430733,44.578384,,,,,,
13.213,56.621964,53.774097,44.15213,44.297005,,,,,,
13.575,56.404667,53.483074,43.860687,44.001247,,,,,,
13.938,56.152264,53.169426,43.55917,43.697613,,,,,,
14.298,55.921604,52.879955,43.258297,43.405186,,,,,,
14.648,55.66386,52.564484,42.952946,43.103672,,,,,,
14.998,55.420551,52.278614,42.685268,42.816677,,,,,,
15.352,55.169067,51.978416,42.423306,42.552135,,,,,,
15.711,54.911404,51.683865,42.185017,42.306404,,,,,,
16.059,54.673855,51.401276,41.973099,42.084381,,,,,,
16.416,54.392193,51.084007,41.750454,41.851406,,,,,,
16.765,54.141319,50.807018,41.566711,41.661068,,,,,,
17.127,53.866619,50.51688,41.343796,41.449692,,,,,,
17.492,53.594543,50.22176,41.105034,41.222702,,,,,,
17.855,53.332729,49.92107,40.879475,40.987461,,,,,,
18.217,53.071526,49.626823,40.641289,40.755524,,,,,,
18.564,52.804253,49.361038,40.434559,40.541309,,,,,,
18.92,52.543831,49.085167,40.204987,40.313339,,,,,,
19.279,52.265213,48.81144,39.990059,40.086933,,,,,,
19.642,51.993149,48.532547,39.790779,39.88126,,,,,,
20.002,51.740917,48.264881,39.589237,39.673321,,,,,,
20.351,51.474888,47.997276,39.384045,39.466389,,,,,,
20.723,51.18919,47.710308,39.149887,39.253803,,,,,,
21.076,50.946411,47.477028,38.960831,39.055683,,,,,,
21.464,50.656643,47.181587,38.733494,38.820389,,,,,,
21.824,50.407005,46.926983,38.554855,38.640892,,,,,,
22.186,50.133606,46.663982,38.370197,38.442478,,,,,,
22.548,49.869579,46.404076,38.216343,38.277077,,,,,,
22.897,49.642799,46.184525,38.084663,38.140965,,,,,,
23.261,49.381073,45.938339,37.944016,37.986088,,,,,,
23.613,49.127815,45.697624,37.801441,37.842411,,,,,,
23.972,48.877434,45.462448,37.644066,37.695072,,,,,,
24.322,48.643219,45.230835,37.494606,37.551865,,,,,,
24.673,48.405312,45.006699,37.337646,37.4025,,,,,,
25.032,48.1628,44.789143,37.172031,37.248947,,,,,,
25.394,47.917458,44.559093,37.03838,37.096806,,,,,,
25.757,47.694439,44.34779,36.909325,36.945908,,,,,,
26.126,47.45155,44.119572,36.747536,36.797741,,,,,,
26.483,47.222309,43.909725,36.61404,36.659798,,,,,,
26.831,46.990059,43.699287,36.470619,36.523758,,,,,,
27.182,46.790707,43.493797,36.340084,36.385643,,,,,,
27.539,46.550171,43.315788,36.196815,36.238365,,,,,,
27.902,46.328716,43.100193,36.038013,36.08963,,,,,,
28.252,46.119621,42.89307,35.884045,35.939259,,,,,,
28.614,45.90015,42.698658,35.737865,35.780571,,,,,,
28.975,45.685322,42.504749,35.605644,35.651493,,,,,,
29.338,45.474529,42.325287,35.472675,35.519657,,,,,,
29.694,45.267704,42.129314,35.348953,35.393932,,,,,,
30.051,45.062088,41.943619,35.252934,35.285389,,,,,,
30.399,44.866444,41.77261,35.135578,35.180355,,,,,,
30.75,44.674545,41.608482,35.05143,35.091732,,,,,,
31.107,44.47831,41.427631,34.95911,34.986881,,,,,,
31.47,44.278587,41.239525,34.850082,34.8848,,,,,,
31.833,44.079895,41.080776,34.766354,34.78495,,,,,,
32.196,43.897789,40.905106,34.687263,34.708103,,,,,,
32.56,43.700859,40.74065,34.593353,34.617783,,,,,,
32.91,43.522175,40.583942,34.516289,34.532429,,,,,,
33.261,43.329536,40.430935,34.446373,34.464306,,,,,,
33.619,43.16573,40.275928,34.364376,34.38052,,,,,,
33.98,42.98151,40.118572,34.287666,34.306953,,,,,,
34.329,42.806789,39.960369,34.216419,34.219784,,,,,,
34.694,42.633171,39.803726,34.129066,34.147907,,,,,,
35.056,42.466446,39.666897,34.066948,34.073902,,,,,,
35.419,42.290714,39.515919,33.975292,33.98584,,,,,,
35.779,42.120995,39.363239,33.911121,33.916958,,,,,,
36.137,41.968147,39.24152,33.852028,33.852699,,,,,,
36.486,41.794422,39.102161,33.780739,33.785675,,,,,,
36.843,41.6329,38.961536,33.713139,33.710445,,,,,,
37.2,41.485943,38.823128,33.635681,33.647808,,,,,,
37.563,41.336926,38.685982,33.557056,33.574127,,,,,,
37.927,41.172806,38.562119,33.477951,33.481995,,,,,,
38.291,41.031231,38.438705,33.397297,33.410553,,,,,,
38.64,40.870964,38.304077,33.329823,33.331394,,,,,,
39.003,40.740639,38.182644,33.259747,33.262444,,,,,,
39.354,40.58963,38.056232,33.196129,33.203999,,,,,,
39.71,40.431953,37.92981,33.145557,33.133869,,,,,,
40.07,40.303493,37.818069,33.093433,33.080395,,,,,,
40.419,40.163452,37.705837,33.030708,33.033184,,,,,,
40.782,40.019943,37.586342,32.978439,32.975739,,,,,,
41.144,39.896069,37.477459,32.929478,32.931503,,,,,,
41.507,39.755096,37.358978,32.866352,32.871075,,,,,,
