Time,Steel Center,Steel Surface,Copper Surface,Copper Center,P 5,P 6,P 7,P 8,P 9,P 10
36633.302,29.862997,29.745749,29.634811,29.600393,,,,,,
36633.653,29.852684,29.744715,29.630154,29.597094,,,,,,
36634.015,29.846281,29.748045,29.636202,29.59952,,,,,,
36634.376,29.870651,29.759743,29.637714,29.603523,,,,,,
36634.728,29.840126,29.739851,29.624157,29.594494,,,,,,
36635.073,29.846769,29.734724,29.63307,29.593443,,,,,,
36635.422,29.854614,29.748003,29.630955,29.603556,,,,,,
36635.786,29.848839,29.756037,29.634686,29.602079,,,,,,
36636.142,29.856955,29.744911,29.626728,29.595028,,,,,,
36636.492,29.842319,29.74295,29.620464,29.590122,,,,,,
36636.854,29.856045,29.754641,29.634649,29.596834,,,,,,
36637.216,29.852104,29.750473,29.624819,29.605572,,,,,,
36637.578,29.85277,29.752272,29.633411,29.59469,,,,,,
36637.94,29.842829,29.743006,29.629126,29.602859,,,,,,
36638.291,29.846485,29.746891,29.633011,29.603348,,,,,,
36638.648,29.852062,29.740246,29.625685,29.597607,,,,,,
36638.997,29.8412,29.735491,29.627497,29.590586,,,,,,
36639.347,29.850616,29.740156,29.637596,29.591629,,,,,,
36639.703,29.845831,29.746914,29.631676,29.599522,,,,,,
36640.065,29.848106,29.741493,29.621498,29.59478,,,,,,
36640.415,29.843191,29.740652,29.62496,29.599373,,,,,,
36640.781,29.845228,29.741558,29.630621,29.612732,,,,,,
36641.142,29.863625,29.746151,29.623213,29.599663,,,,,,
36641.504,29.844173,29.734844,29.629564,29.589485,,,,,,
36641.855,29.856636,29.746178,29.642035,29.615995,,,,,,
36642.21,29.838356,29.723139,29.623972,29.587063,,,,,,
36642.555,29.843824,29.742418,29.626726,29.599554,,,,,,
36642.917,29.847769,29.745005,29.628181,29.601915,,,,,,
36643.278,29.848497,29.74279,29.627325,29.595171,,,,,,
36643.64,29.830652,29.735582,29.624643,29.59045,,,,,,
36644.002,29.85379,29.751482,29.63081,29.607939,,,,,,
36644.36,29.844875,29.739168,29.623247,29.593811,,,,,,
36644.72,29.857,29.746542,29.645794,29.604809,,,,,,
36645.07,29.843637,29.745628,29.62269,29.5928,,,,,,
36645.42,29.838663,29.744272,29.628128,29.602314,,,,,,
36645.776,29.846729,29.739439,29.623066,29.599064,,,,,,
36646.138,29.85577,29.74984,29.630074,29.602448,,,,,,
36646.483,29.845852,29.745352,29.62151,29.593657,,,,,,
36646.846,29.849453,29.748728,29.63213,29.59726,,,,,,
36647.208,29.850346,29.738527,29.627817,29.596794,,,,,,
36647.57,29.849504,29.747648,29.627428,29.600029,,,,,,
36647.919,29.852257,29.750174,29.629501,29.596668,,,,,,
36648.286,29.8596,29.755709,29.63549,29.610809,,,,,,
36648.636,29.836859,29.741337,29.625193,29.589415,,,,,,
36648.986,29.847994,29.74025,29.623198,29.600328,,,,,,
36649.343,29.846733,29.747137,29.638239,29.601557,,,,,,
36649.704,29.847767,29.750662,29.634747,29.596025,,,,,,
36650.065,29.84651,29.754612,29.633942,29.611977,,,,,,
36650.43,29.856161,29.754984,29.63386,29.606915,,,,,,
36650.776,29.846542,29.73608,29.628992,29.598196,,,,,,
36651.138,29.844824,29.751795,29.622519,29.596704,,,,,,
36651.488,29.84123,29.745031,29.637264,29.583372,,,,,,
36651.845,29.86128,29.757162,29.647587,29.610678,,,,,,
36652.207,29.858355,29.756952,29.636055,29.611601,,,,,,
36652.556,29.852236,29.752642,29.63899,29.602533,,,,,,
36652.918,29.844553,29.739977,29.627001,29.583979,,,,,,
36653.28,29.846735,29.7528,29.633488,29.575745,,,,,,
36653.639,29.839247,29.752779,29.612408,29.576403,,,,,,
36653.994,29.851889,29.755463,29.618263,29.568218,,,,,,
0,29.85519,29.746769,29.712811,29.687454,,,,,,
0.35,29.833075,29.718309,30.059355,30.040577,,,,,,
0.7,29.826651,29.714149,30.676931,30.61389,,,,,,
1.057,29.814457,29.702631,31.403034,31.289093,,,,,,
1.418,29.807291,29.703159,32.142067,31.974445,,,,,,
1.778,29.792484,29.687899,32.777912,32.585079,,,,,,
2.139,29.792727,29.692217,33.375511,33.168533,,,,,,
2.489,29.777739,29.68379,33.89579,33.678024,,,,,,
2.858,29.783293,29.706099,34.407162,34.193214,,,,,,
3.209,29.783867,29.72501,34.869617,34.676487,,,,,,
3.567,29.778713,29.756529,35.353054,35.178917,,,,,,
3.94,29.782423,29.814339,35.850357,35.691383,,,,,,
4.286,29.790504,29.883978,36.309036,36.157135,,,,,,
4.649,29.794554,29.969944,36.786747,36.620708,,,,,,
5.013,29.80579,30.075068,37.258587,37.092262,,,,,,
5.374,29.844223,30.206892,37.754513,37.574318,,,,,,
5.727,29.870789,30.336323,38.249626,38.050694,,,,,,
6.086,29.919472,30.497984,38.769524,38.556572,,,,,,
